# 100 Random Parameter vector samples from Bayesian Sampling.
# Parametrization of the BK Initial Condition is defined in Equation (10, 11)
# Set-up: 4-parameter case, gamma = 1, with correlated systematic uncertainties consideration
# Q_{s,0}^2              e_c                      C^2                      sigma0/2
5.069495137778651933e-02 5.797345676269642922e+01 6.379748000250716089e+00 1.523759788068259802e+01
6.815784885312295427e-02 1.897216431383397861e+01 5.318420568675748861e+00 1.418696892550729594e+01
6.923016560102748795e-02 1.449768847031835506e+01 6.002121003209397010e+00 1.480231974230481029e+01
5.825594598895963289e-02 4.931359779505304886e+01 4.444188257963083366e+00 1.391431962292308100e+01
6.347480551440021213e-02 2.141189547129360449e+01 5.756539066813891381e+00 1.485501693528037492e+01
8.483777297194142197e-02 9.700913295860623009e+00 4.127595858591727840e+00 1.353901042525408016e+01
6.157928593176069387e-02 3.507319809743810879e+01 4.513183878738844079e+00 1.400423436969057889e+01
6.597557598507600152e-02 2.244197265913088302e+01 5.663981684013865703e+00 1.401631121276656877e+01
6.798172984213819714e-02 2.003584230006222100e+01 5.494929344537558435e+00 1.404901436859245045e+01
6.107759897412615158e-02 2.693204198861366550e+01 5.308651522336762518e+00 1.479228432244694780e+01
5.969675211741188453e-02 3.767067860417076730e+01 5.312127677248423829e+00 1.433657325451618370e+01
8.431229564133591037e-02 6.528203392903421332e+00 6.651896761843833161e+00 1.490659525027533228e+01
6.396430222772678253e-02 3.461462986805265984e+01 4.082627462874113711e+00 1.369499134767599635e+01
6.206874627853834619e-02 3.554063065539836686e+01 4.304724766058731333e+00 1.378620786402156284e+01
5.967829463987642247e-02 2.757422683439966704e+01 6.208165810857062539e+00 1.495027709033662688e+01
5.527460816771877228e-02 5.526128980254200229e+01 4.763178808415150733e+00 1.404505065314474166e+01
6.272225139810332084e-02 3.464435878141394198e+01 4.784157348190946735e+00 1.362248771394884805e+01
5.924934438612124155e-02 5.152532231066604851e+01 3.743869207370361885e+00 1.348150309451365025e+01
5.606738730771704260e-02 5.573416014492109127e+01 5.165906940530778257e+00 1.411059042150548315e+01
6.879029624673241305e-02 1.609666781144750303e+01 5.850213298160410247e+00 1.498301711586900709e+01
5.403576818172141361e-02 5.718290992067332468e+01 5.261634151019252137e+00 1.434682409358624611e+01
5.923621126049800206e-02 4.018344196028864701e+01 4.846492066563819812e+00 1.420153255266106918e+01
5.470746138813348258e-02 5.517312588111595772e+01 5.298517074492679058e+00 1.427970070263722135e+01
6.346939902182033300e-02 2.559866286152230686e+01 5.615212632688169947e+00 1.436209391920306011e+01
7.389194286400764533e-02 9.427545389924347319e+00 6.827492218828115966e+00 1.531982199948814305e+01
6.781770488652941187e-02 2.057891761366886385e+01 5.159311507704282818e+00 1.418103331429734837e+01
5.876478284648212203e-02 4.386079223103627100e+01 5.020477239016248205e+00 1.403130520508873147e+01
6.498768763929399506e-02 1.917324881539117953e+01 6.746660324585262103e+00 1.493516860148994851e+01
5.682358347569737428e-02 4.273390022532342414e+01 5.119362788385864782e+00 1.463937345586036365e+01
6.190185398539561901e-02 2.292116101754267277e+01 6.526980350332559411e+00 1.524014140017559882e+01
6.030457511862063330e-02 4.861042974217720314e+01 4.023334672508880772e+00 1.329382867303143279e+01
5.820204060212022523e-02 4.762053965821742452e+01 5.224913015312304232e+00 1.387321404343935605e+01
6.383102761175686590e-02 3.048672119484693965e+01 4.542871215272710650e+00 1.392418899282768763e+01
5.562070429245185438e-02 5.879370782340422608e+01 5.252235208626035323e+00 1.393451655785269949e+01
6.969070131495462561e-02 1.908728807427134910e+01 4.664521640503496158e+00 1.391035847593221497e+01
6.477324720931228186e-02 1.572524381097933954e+01 7.496976380665842044e+00 1.570402993547726922e+01
7.234925746708148475e-02 1.066001647960422005e+01 6.971939002433307664e+00 1.513561979663332302e+01
6.167059273798405905e-02 3.253435809954223146e+01 4.979676032775179451e+00 1.399806274504463310e+01
6.094359914028251585e-02 3.310141940732252408e+01 6.018218364804440057e+00 1.425781348053872932e+01
7.332709475062598736e-02 1.619739879111828174e+01 4.430768112891325217e+00 1.410229704158986053e+01
6.832427798371804029e-02 1.894382952868948777e+01 4.681016282366646131e+00 1.425561856523944293e+01
5.511624942666602106e-02 4.764272588118961949e+01 5.664116307557980790e+00 1.457098355985233695e+01
7.017640454871898470e-02 1.476400730278216145e+01 6.006278339730544147e+00 1.450849104620477448e+01
7.035895586632469334e-02 1.974830431154998678e+01 5.081159291594310901e+00 1.386188460238643749e+01
6.719573674353292170e-02 2.451762335759359601e+01 4.710385625425855594e+00 1.376488695678992258e+01
5.669295524540088338e-02 5.631028249253258622e+01 4.368076080925387572e+00 1.369661543085434730e+01
